complaint_id,product_code,received_date,close_date,event_description,imdrf_code,regulatory_market,status,quality_issue
CMP-2022-00522,OZO,2022-08-29,2022-11-11,Pharmacy reported that the Connector lid mechanism failed to activate the locking feature after designated fill level was reached. Potential needlestick hazard identified. No injury occurred. Device quarantined. Corrective action requested.,A0501,CA,Closed,
CMP-2023-00738,FRN,2023-05-30,2023-08-09,,A1501,CA,Closed,Missing event_description; 
CMP-2023-00741,FRY,2022-06-29,2022-08-11,Pharmacy reported that the Drip Chamber lid mechanism failed to activate the locking feature after designated fill level was reached. Potential needlestick hazard identified. No injury occurred. Device quarantined. Corrective action requested.,A1601,BR,Closed,
CMP-2023-00661,MQP,2023-12-25,2024-02-07,User reported that the Pedicle Screw hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in BR market.,A1501,BR,Closed,
CMP-2022-00412,KWQ,2023-11-29,2024-01-18,Reported that the Intramedullary Nail needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A2001,JP,Closed,
CMP-2023-00679,MQP,2024-10-15,2024-11-17,"Catheter reported to have kinked proximal to the Pedicle Screw during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A0501,BR,Closed,
CMP-2023-00627,KWQ,2022-03-12,2022-05-08,"Clinician reported Intramedullary Nail leak during balloon inflation. Procedure was percutaneous transluminal angioplasty (PTA). Patient experienced minor blood loss, no intervention required. Device lot LOT7598418 returned for analysis. The event occurred during the first inflation cycle.",A2001,EU,Closed,
CMP-2022-00514,OZO,2024-05-27,2024-06-25,Customer reported that the sterile packaging seal was compromised on arrival. The device was not used. Complaint received during incoming inspection. Lot LOT9946299. Packaging integrity testing requested on retained samples.,A0601,JP,Closed,
CMP-2023-00860,FTZ,2024-11-05,2025-01-26,Hospital reported post-operative imaging revealed Plunger bending beyond acceptable limits. Patient required revision surgery. The device was implanted 619 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A0801,CA,Closed,
CMP-2021-00137,DXX,2024-06-29,,Syringe plunger reported to have detached from the barrel during medication administration. Medication was lost. No patient injury. Complaint received directly from nursing staff.,A1701,EU,Investigating,
CMP-2023-00812,QPP,2024-03-20,2024-05-20,Hospital reported post-operative imaging revealed Titanium Rod bending beyond acceptable limits. Patient required revision surgery. The device was implanted 723 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A1601,IN,Closed,Duplicate complaint_id; 
CMP-2021-00077,FRN,2021-08-01,2021-09-15,Customer reported that the Balloon fractured intraoperatively during posterior lumbar interbody fusion (PLIF). The patient is a 37-year-old female. The device was implanted 109 days prior to the reported event. Surgeon noted the fracture occurred during rod contouring. No patient injury reported at time of event. Sample return requested. Lot number LOT4883465.,A0101,BR,Closed,
CMP-2023-00637,KWQ,2024-04-27,2024-05-12,Hospital reported post-operative imaging revealed Intramedullary Nail bending beyond acceptable limits. Patient required revision surgery. The device was implanted 515 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A0801,EU,Closed,
CMP-2024-00974,QPP,2021-12-27,2022-03-05,Reported that the Titanium Rod needle bent on insertion attempt. Three unsuccessful insertion attempts made. Patient experienced pain and bruising at insertion site. IV access established with replacement device.,A0301,US,Closed,
CMP-2024-00939,KZH,2021-03-13,2021-05-11,Hospital reported post-operative imaging revealed Locking Plate bending beyond acceptable limits. Patient required revision surgery. The device was implanted 511 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A0501,AU,Closed,
CMP-2024-00900,GYN,2021-03-05,2021-04-29,Field service engineer noted Lid Mechanism separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 664 days post-implant. Patient age: 31 years.,A0301,JP,Closed,
